nohup: ignoring input
epoch 0300 | 108.15s | horizon 40 | train 1.442575e-02 | val 1.50146564e-02
epoch 0301 | 109.38s | horizon 40 | train 1.374216e-02 | val 1.32870601e-02
epoch 0302 | 107.27s | horizon 40 | train 1.355945e-02 | val 1.55125873e-02
epoch 0303 | 108.27s | horizon 40 | train 1.414204e-02 | val 1.45636757e-02
epoch 0304 | 106.86s | horizon 40 | train 1.371733e-02 | val 1.33405238e-02
epoch 0305 | 109.03s | horizon 40 | train 1.348187e-02 | val 1.35228505e-02
epoch 0306 | 110.16s | horizon 40 | train 1.326567e-02 | val 1.31117171e-02
epoch 0307 | 106.92s | horizon 40 | train 1.345076e-02 | val 1.42177564e-02
epoch 0308 | 106.25s | horizon 40 | train 1.377058e-02 | val 1.41228527e-02
epoch 0309 | 110.03s | horizon 40 | train 1.382115e-02 | val 1.42472541e-02
epoch 0310 | 110.23s | horizon 40 | train 1.385066e-02 | val 1.41402409e-02
epoch 0311 | 112.15s | horizon 40 | train 1.386606e-02 | val 1.31549156e-02
epoch 0312 | 111.38s | horizon 40 | train 1.399996e-02 | val 1.63099444e-02
epoch 0313 | 106.86s | horizon 40 | train 1.376556e-02 | val 1.48290896e-02
epoch 0314 | 107.63s | horizon 40 | train 1.397599e-02 | val 1.45959847e-02
epoch 0315 | 107.66s | horizon 40 | train 1.382468e-02 | val 1.33517071e-02
epoch 0316 | 106.27s | horizon 40 | train 1.353236e-02 | val 1.33886487e-02
epoch 0317 | 105.40s | horizon 40 | train 1.292674e-02 | val 1.28016816e-02
epoch 0318 | 106.51s | horizon 40 | train 1.297731e-02 | val 1.30862094e-02
epoch 0319 | 106.62s | horizon 40 | train 1.300218e-02 | val 1.32099754e-02
epoch 0320 | 109.89s | horizon 40 | train 1.301841e-02 | val 1.30859054e-02
epoch 0321 | 109.77s | horizon 40 | train 1.333785e-02 | val 1.33674927e-02
epoch 0322 | 107.80s | horizon 40 | train 1.381986e-02 | val 1.47765490e-02
